"sep=,"
Line #,Reward Date,Investment Amount,Current Month Reward Amount,Total Reward Amount To Date,Staking Reward Rate
1,2020-12-15,10,0.047945,0.047945,0.07%
2,2021-01-15,10.047945,0.059737,0.107682,0.07%
3,2021-02-15,10.107682,0.060092,0.167775,0.07%
4,2021-03-15,10.167775,0.0546,0.222374,0.07%
5,2021-04-15,10.222374,0.060774,0.283148,0.07%
6,2021-05-15,10.283148,0.059163,0.342312,0.07%
7,2021-06-15,10.342312,0.061487,0.403799,0.07%
8,2021-07-15,10.403799,0.059857,0.463656,0.07%
9,2021-08-15,10.463656,0.062209,0.525865,0.07%
10,2021-09-15,10.525865,0.062578,0.588443,0.07%
11,2021-10-15,10.588443,0.06092,0.649363,0.07%
12,2021-11-15,10.649363,0.063313,0.712676,0.07%
13,2021-12-15,10.712676,0.061635,0.77431,0.07%
14,2022-01-15,10.77431,0.064055,0.838366,0.07%
15,2022-02-15,10.838366,0.064436,0.902802,0.07%
16,2022-03-15,10.902802,0.058547,0.961349,0.07%
17,2022-04-15,10.961349,0.065167,1.026516,0.07%
18,2022-05-15,11.026516,0.06344,1.089956,0.07%
19,2022-06-15,11.089956,0.065932,1.155888,0.07%
20,2022-07-15,11.155888,0.064185,1.220073,0.07%
21,2022-08-15,11.220073,0.066706,1.286779,0.07%
22,2022-09-15,11.286779,0.067102,1.353881,0.07%
23,2022-10-15,11.353881,0.065324,1.419204,0.07%
24,2022-11-15,11.419204,0.06789,1.487094,0.07%
25,2022-11-20,11.487094,0.011015,1.498109,0.07%
