Line #,Reward Date,Investment Amount,Current Month Reward Amount,Total Reward Amount To Date,Staking Reward Rate
1,3/23/2024,25,0,0,0.00%
2,4/23/2024,25,0.054795,0.054795,10.00%
3,5/23/2024,25.054795,0.20593,0.260724,10.00%
4,6/23/2024,25.260724,0.214543,0.475267,10.00%
5,7/23/2024,25.475267,0.209386,0.684653,10.00%
6,8/23/2024,25.684653,0.218144,0.902797,10.00%
7,9/23/2024,25.902797,0.219996,1.122793,10.00%
8,10/23/2024,26.122793,0.214708,1.337501,10.00%
9,11/23/2024,26.337501,0.223688,1.561189,10.00%
10,12/23/2024,26.561189,0.218311,1.779501,10.00%
11,1/23/2025,26.779501,0.227442,2.006943,10.00%
12,2/23/2025,27.006943,0.229374,2.236317,10.00%
13,3/23/2025,27.236317,0.208936,2.445253,10.00%
14,4/23/2025,27.445253,0.233097,2.67835,10.00%
15,5/23/2025,27.67835,0.227493,2.905843,10.00%
16,6/23/2025,27.905843,0.237009,3.142852,10.00%
17,7/23/2025,28.142852,0.231311,3.374163,10.00%
18,8/23/2025,28.374163,0.240986,3.615149,10.00%
19,9/23/2025,28.615149,0.243033,3.858182,10.00%
20,10/23/2025,28.858182,0.237191,4.095372,10.00%
21,11/23/2025,29.095372,0.247111,4.342483,10.00%
22,12/23/2025,29.342483,0.241171,4.583655,10.00%
23,1/23/2026,29.583655,0.251258,4.834913,10.00%
24,2/23/2026,29.834913,0.253392,5.088305,10.00%
25,3/23/2026,30.088305,0.230814,5.31912,10.00%
26,4/15/2026,30.31912,0.191052,5.510172,10.00%
,,687.70612,5.510171,68.216292,
